              precision    recall  f1-score   support

           0       0.50      1.00      0.67       954
           1       0.00      0.00      0.00       954

    accuracy                           0.50      1908
   macro avg       0.25      0.50      0.33      1908
weighted avg       0.25      0.50      0.33      1908
